text,label,category
"Subject: Your Application to HashiCorp

Hi Candidate,

Thank you for your interest in the Security Engineer role at HashiCorp. We appreciate the time you invested in applying.

Unfortunately, we will not be moving forward with your application at this time. While your background is impressive, we've decided to pursue candidates with different experience for this particular role.

We wish you all the best in your career journey.

Best regards,
Kevin
HashiCorp",2,rejection
"Subject: We received your application for Platform Engineer

Hi Candidate,

Thanks for taking the time to apply for the Platform Engineer position at Amazon!

We're excited to learn more about you. Our hiring team is reviewing applications and will reach out to qualified candidates soon.

In the meantime, feel free to check out our careers page for other opportunities.

Best,
The Amazon Team",0,applied
"Subject: Interview Invitation - Backend Developer at Adobe

Hi Candidate,

Great news! We'd like to invite you to interview for the Backend Developer position at Adobe.

We were impressed by your background and would love to learn more about you. Please let us know your availability for a 30-minute phone screen this week.

Available times:
- Monday-Friday: 10am-4pm

Looking forward to speaking with you!

Best,
David
Adobe Recruiting",1,interview
"Subject: Your application to CRED has been submitted

Hello Candidate,

Great news! Your application for Full Stack Developer at CRED has been successfully submitted.

What happens next?
- Our team will review your profile
- If selected, you'll hear from us within 2 weeks
- You can track your application status in our portal

Thank you for considering CRED!

Best,
CRED Recruiting",0,applied
"Subject: Thank you for applying to ByteWorks

Hello Candidate,

Thank you for applying to the Principal Engineer position at ByteWorks! We have received your application and our team is currently reviewing it.

We appreciate your interest in joining our team. If your qualifications match our requirements, a member of our recruiting team will reach out to discuss next steps.

Best regards,
The ByteWorks Talent Team",0,applied
"Subject: Thanks for your interest in Instacart

Dear Candidate,

We appreciate your interest in joining Instacart as a Technical Lead. 

Your application has been forwarded to the hiring team for review. If your background is a match, you can expect to hear from us within the next two weeks.

Best of luck,
Priya
Recruiting Team, Instacart",0,applied
"Subject: Interview Confirmation - Square

Dear Candidate,

This is to confirm your interview for the Data Engineer position at Square.

Date: Saturday, February 14
Time: 2:00 PM - 3:00 PM
Location: Video Call (link will be sent separately)
Interviewer: Engineering Team

Please let us know if you need to reschedule.

Best,
Michael
Square",1,interview
"Subject: Your Swiggy order is confirmed!

Hi Candidate,

Your order from Domino's Pizza has been confirmed!

Order ID: SW123456
Items: Margherita Pizza, Garlic Bread
Total: ₹599

Estimated delivery: 35-40 mins

Track your order in the Swiggy app.

Enjoy your meal!
Swiggy",3,not_job
"Subject: Thank you for your interest in Uber

Dear Candidate,

We appreciate your interest in joining Uber as a DevOps Engineer. 

Your application has been forwarded to the hiring team for review. If your background is a match, you can expect to hear from us within the next two weeks.

Best of luck,
Ryan
Recruiting Team, Uber",0,applied
"Subject: Meesho - Application Update

Dear Candidate,

We appreciate your interest in joining Meesho as a Product Manager.

After thorough review, we have decided to pursue other candidates for this position. While we were impressed by your background, we felt other applicants were a closer fit for our immediate needs.

We encourage you to check our careers page for future opportunities.

Warm regards,
Meesho Recruiting",2,rejection
"Subject: 🔥 50% OFF this weekend only!

Hi Candidate,

Don't miss out on our biggest sale of the year!

50% OFF on all electronics
Use code: MEGA50

Shop now before it's gone!

Terms apply. Valid until January 19, 2026.
MyStore.com",3,not_job
"Subject: Password reset request

Hi Candidate,

We received a request to reset your password.

Click here to reset: [Reset Link]

If you didn't request this, please ignore this email.

Security Team",3,not_job
"Subject: Your Twitter digest

Hi Candidate,

Here's what's happening on Twitter:

Top trends in India:
1. #TechNews - 50K tweets
2. #Cricket - 100K tweets

See what's trending

Twitter",3,not_job
"Subject: Thank you for applying to Redis Labs

Hi Candidate,

Thank you for applying to the Backend Developer position at Redis Labs! We have received your application and our team is currently reviewing it.

We appreciate your interest in joining our team. If your qualifications match our requirements, a member of our recruiting team will reach out to discuss next steps.

Best regards,
The Redis Labs Talent Team",0,applied
"Subject: Transaction Alert - ICICI Bank

Dear Candidate,

A transaction of Rs. 1,299 has been debited from your account XXXX5678 at SWIGGY.

Available Balance: Rs. 23,456.78
Date: January 23, 2026

If not done by you, call 1800-XXX-XXXX immediately.

ICICI Bank",3,not_job
"Subject: Your Application to MongoDB

Hi Candidate,

Thank you for your interest in the Mobile Developer role at MongoDB. We appreciate the time you invested in applying.

Unfortunately, we will not be moving forward with your application at this time. While your background is impressive, we've decided to pursue candidates with different experience for this particular role.

We wish you all the best in your career journey.

Best regards,
John
MongoDB",2,rejection
"Subject: Coding Challenge - Robinhood Mobile Developer

Hi Candidate,

Thank you for your interest in the Mobile Developer position at Robinhood!

As the next step in our hiring process, we'd like to invite you to complete a take-home coding challenge. 

Details:
- Duration: 2-3 hours
- Deadline: 5 days from today
- Language: Your choice

Please find the challenge at: [HackerRank Link]

Good luck!
Robinhood Engineering Team",1,interview
"Subject: Thank you for your interest in Stripe

Dear Candidate,

We appreciate your interest in joining Stripe as a SRE Engineer. 

Your application has been forwarded to the hiring team for review. If your background is a match, you can expect to hear from us within the next two weeks.

Best of luck,
David
Recruiting Team, Stripe",0,applied
"Subject: Zomato: Order delivered successfully

Hi Candidate,

Your order from Biryani House has been delivered!

How was your food? Rate your experience.

Order total: ₹450

Thanks for ordering with Zomato!",3,not_job
"Subject: Thank you for applying to Oracle

Hi Candidate,

Thank you for your interest in Oracle and for applying to the DevSecOps Engineer position.

We have carefully reviewed your application and, unfortunately, have decided not to move forward at this time. We received many qualified applicants for this role and the competition was intense.

We appreciate your time and wish you success in your career.

Best,
Sarah
Oracle HR",2,rejection
"Subject: Order Confirmation - Flipkart

Dear Candidate,

Thank you for your order! Here are the details:

Order ID: OD123456789
Item: Wireless Headphones
Amount: ₹2,499

Your order will be delivered by January 17, 2026.

Happy Shopping!
Flipkart",3,not_job
"Subject: HashiCorp - Application Confirmation

Dear Candidate,

This email confirms that we have received your application for:

Position: Machine Learning Engineer
Company: HashiCorp
Date Applied: January 19, 2026

Your application is now under review. We will contact you if your profile matches our requirements.

Thanks,
HashiCorp Talent Acquisition",0,applied
"Subject: We're going a different direction - GitHub

Hello Candidate,

I wanted to personally reach out regarding your application for Data Scientist at GitHub.

Unfortunately, after much deliberation, we've decided not to proceed with your candidacy. This was a difficult decision given the strength of your application.

I'd be happy to keep your resume on file for future opportunities.

Best wishes,
Ashley
GitHub Talent Acquisition",2,rejection
"Subject: Your Application to Airbnb

Hi Candidate,

Thanks for your interest in the Mobile Developer role at Airbnb. We appreciate the time you invested in applying.

Unfortunately, we will not be moving forward with your application at this time. While your background is impressive, we've decided to pursue candidates with different experience for this particular role.

We wish you all the best in your career journey.

Best regards,
Nicole
Airbnb",2,rejection
"Subject: Next Steps - GitLab Product Manager Interview

Hi Candidate,

Congratulations! After reviewing your application for Product Manager, we'd like to move forward with the interview process.

The next step is a technical phone screen with one of our engineers. This will be a 45-minute call covering your background and a coding exercise.

Please use this link to schedule: [Calendly Link]

Best regards,
Rachel
GitLab Talent Team",1,interview
"Subject: Application Status - DevSecOps Engineer at Spotify

Dear Candidate,

We wanted to follow up regarding your application for DevSecOps Engineer at Spotify.

After reviewing your qualifications alongside our current openings, we regret to inform you that we will not be proceeding with your application. This was a highly competitive process, and the decision was not easy.

Please don't be discouraged - we encourage you to apply again in the future.

Thank you,
Spotify Talent Team",2,rejection
"Subject: Interview Confirmation - Infosys

Dear Candidate,

This is to confirm your interview for the Data Scientist position at Infosys.

Date: Friday, February 13
Time: 2:00 PM - 3:00 PM
Location: Video Call (link will be sent separately)
Interviewer: Engineering Team

Please let us know if you need to reschedule.

Best,
Rahul
Infosys",1,interview
"Subject: Schedule Your Interview - GitLab

Hi Candidate,

We're excited to invite you to the next stage of our interview process for Cloud Engineer!

Interview Details:
- Type: Video call (Google Meet/Zoom)
- Duration: 60 minutes
- Focus: Technical discussion + behavioral questions

Please reply with 3 time slots that work for you this week.

Cheers,
Ashley
GitLab",1,interview
"Subject: Application Received - UI Designer at Airbnb

Dear Candidate,

We've received your application for the UI Designer role at Airbnb. Thank you for your interest in joining our team!

Our recruiting team will review your application and get back to you if there's a potential match. Due to the high volume of applications, this process may take 2-3 weeks.

Cheers,
Sarah
Talent Acquisition, Airbnb",0,applied
"Subject: Interview Confirmation - DataDrive

Dear Candidate,

This is to confirm your interview for the Mobile Developer position at DataDrive.

Date: Tuesday, February 10
Time: 2:00 PM - 3:00 PM
Location: Video Call (link will be sent separately)
Interviewer: Engineering Team

Please let us know if you need to reschedule.

Best,
Emily
DataDrive",1,interview
"Subject: Weekly Tech News Digest

Hi Candidate,

Here's your weekly roundup of the top tech stories:

1. Apple announces new product launch
2. Google updates search algorithm
3. Microsoft's AI breakthrough

Click here to read more...

Unsubscribe | Update Preferences
TechNews Weekly",3,not_job
"Subject: Thank you for applying to Netflix

Hi Candidate,

Thank you for your interest in Netflix and for applying to the Data Scientist position.

We have carefully reviewed your application and, unfortunately, have decided not to move forward at this time. We received many qualified applicants for this role and the competition was intense.

We appreciate your time and wish you success in your career.

Best,
Vikram
Netflix HR",2,rejection
"Subject: Application Status - Staff Software Engineer at Coinbase

Dear Candidate,

We wanted to follow up regarding your application for Staff Software Engineer at Coinbase.

After reviewing your qualifications alongside our current openings, we regret to inform you that we will not be proceeding with your application. This was a highly competitive process, and the decision was not easy.

Please don't be discouraged - we encourage you to apply again in the future.

Thank you,
Coinbase Talent Team",2,rejection
"Subject: Your application to Intel has been submitted

Hi Candidate,

Great news! Your application for Product Designer at Intel has been successfully submitted.

What happens next?
- Our team will review your profile
- If selected, you'll hear from us within 2 weeks
- You can track your application status in our portal

Thank you for considering Intel!

Best,
Intel Recruiting",0,applied
"Subject: Transaction Alert - ICICI Bank

Hi Candidate,

A transaction of Rs. 1,299 has been debited from your account XXXX5678 at SWIGGY.

Available Balance: Rs. 23,456.78
Date: January 27, 2026

If not done by you, call 1800-XXX-XXXX immediately.

ICICI Bank",3,not_job
"Subject: Phone Screen Request - Full Stack Developer at Redis Labs

Hello Candidate,

I hope this email finds you well! I'm Kevin from Redis Labs's recruiting team.

We reviewed your application for Full Stack Developer and would love to schedule a brief phone conversation to learn more about your experience.

Are you available for a 20-minute call this week? Let me know what works best.

Talk soon,
Kevin",1,interview
"Subject: Interview Invitation - Technical Program Manager at Razorpay

Hi Candidate,

Great news! We'd like to invite you to interview for the Technical Program Manager position at Razorpay.

We were impressed by your background and would love to learn more about you. Please let us know your availability for a 30-minute phone screen this week.

Available times:
- Monday-Friday: 10am-4pm

Looking forward to speaking with you!

Best,
Sneha
Razorpay Recruiting",1,interview
"Subject: Thanks for applying to Meesho

Hi Candidate,

Thanks for your interest in Meesho and for applying to the Frontend Developer position.

We have carefully reviewed your application and, unfortunately, have decided not to move forward at this time. We received many qualified applicants for this role and the competition was intense.

We appreciate your time and wish you success in your career.

Best,
Vikram
Meesho HR",2,rejection
"Subject: Next Steps - Kubernetes Android Developer Interview

Dear Candidate,

Congratulations! After reviewing your application for Android Developer, we'd like to move forward with the interview process.

The next step is a technical phone screen with one of our engineers. This will be a 45-minute call covering your background and a coding exercise.

Please use this link to schedule: [Calendly Link]

Best regards,
Divya
Kubernetes Talent Team",1,interview
"Subject: Upstox - Application Confirmation

Dear Candidate,

This email confirms that we have received your application for:

Position: Software Engineer
Company: Upstox
Date Applied: January 15, 2026

Your application is now under review. We will contact you if your profile matches our requirements.

Thank you,
Upstox Talent Acquisition",0,applied
"Subject: Moving Forward - Senior Software Engineer Application

Hi Candidate,

Great news! The hiring team at HCL was impressed with your profile and we'd like to move forward with your application for Senior Software Engineer.

Next steps:
1. 30-min recruiter call
2. Technical assessment
3. Final round with the team

Let's schedule the recruiter call this week. What times work for you?

Thanks,
Amanda",1,interview
"Subject: Transaction Alert - ICICI Bank

Dear Candidate,

A transaction of Rs. 1,299 has been debited from your account XXXX5678 at SWIGGY.

Available Balance: Rs. 23,456.78
Date: January 11, 2026

If not done by you, call 1800-XXX-XXXX immediately.

ICICI Bank",3,not_job
"Subject: Moving Forward - Backend Developer Application

Hi Candidate,

Great news! The hiring team at Kubernetes was impressed with your profile and we'd like to move forward with your application for Backend Developer.

Next steps:
1. 30-min recruiter call
2. Technical assessment
3. Final round with the team

Let's schedule the recruiter call this week. What times work for you?

Thanks,
Rachel",1,interview
"Subject: We're going a different direction - Acme Corp

Hi Candidate,

I wanted to personally reach out regarding your application for Full Stack Developer at Acme Corp.

Unfortunately, after much deliberation, we've decided not to proceed with your candidacy. This was a difficult decision given the strength of your application.

I'd be happy to keep your resume on file for future opportunities.

Best wishes,
Arun
Acme Corp Talent Acquisition",2,rejection
"Subject: New jobs for you on LinkedIn

Hi Candidate,

Based on your profile, we found some jobs you might be interested in:

- Software Engineer at Company A (100+ applicants)
- Developer at Company B (50+ applicants)
- Engineer at Company C (200+ applicants)

See all recommendations on LinkedIn

LinkedIn Jobs Team",3,not_job
"Subject: Weekly Tech News Digest

Hi Candidate,

Here's your weekly roundup of the top tech stories:

1. Apple announces new product launch
2. Google updates search algorithm
3. Microsoft's AI breakthrough

Click here to read more...

Unsubscribe | Update Preferences
TechNews Weekly",3,not_job
"Subject: Application Status - Data Analyst at Kubernetes

Dear Candidate,

We wanted to follow up regarding your application for Data Analyst at Kubernetes.

After reviewing your qualifications alongside our current openings, we regret to inform you that we will not be proceeding with your application. This was a highly competitive process, and the decision was not easy.

Please don't be discouraged - we encourage you to apply again in the future.

Thank you,
Kubernetes Talent Team",2,rejection
"Subject: Your application to Amazon has been submitted

Hi Candidate,

Great news! Your application for Automation Engineer at Amazon has been successfully submitted.

What happens next?
- Our team will review your profile
- If selected, you'll hear from us within 2 weeks
- You can track your application status in our portal

Thank you for considering Amazon!

Best,
Amazon Recruiting",0,applied
"Subject: Application submitted successfully - Intel

Hello Candidate,

Your application for Product Manager at Intel has been received!

Here's what to expect:
1. Resume review by our talent team
2. Initial screening if qualified
3. Interview process (typically 3-4 rounds)

We'll keep you updated on your status.

Thanks,
Intel Careers",0,applied
"Subject: Zomato: Order delivered successfully

Hello Candidate,

Your order from Biryani House has been delivered!

How was your food? Rate your experience.

Order total: ₹450

Thanks for ordering with Zomato!",3,not_job
"Subject: Your Twitter digest

Hi Candidate,

Here's what's happening on Twitter:

Top trends in India:
1. #TechNews - 50K tweets
2. #Cricket - 100K tweets

See what's trending

Twitter",3,not_job
"Subject: Your Amazon order has shipped!

Hi Candidate,

Great news! Your order #123-4567890 has been shipped and is on its way.

Expected delivery: January 15, 2026
Tracking number: TRK123456789

Track your package at amazon.com/orders

Thank you for shopping with us!
Amazon Customer Service",3,not_job
"Subject: We received your application for Frontend Developer

Hi Candidate,

Thanks for taking the time to apply for the Frontend Developer position at TechStart Inc!

We're excited to learn more about you. Our hiring team is reviewing applications and will reach out to qualified candidates soon.

In the meantime, feel free to check out our careers page for other opportunities.

Best,
The TechStart Inc Team",0,applied
"Subject: Uber - Application Confirmation

Dear Candidate,

This email confirms that we have received your application for:

Position: Mobile Developer
Company: Uber
Date Applied: February 05, 2026

Your application is now under review. We will contact you if your profile matches our requirements.

Thank you,
Uber Talent Acquisition",0,applied
"Subject: Your OTP for login

Your one-time password is: 847293

This OTP is valid for 10 minutes. Do not share with anyone.

If you didn't request this, please ignore.

SecureBank",3,not_job
"Subject: Coding Challenge - Intel Site Reliability Engineer

Hello Candidate,

Thank you for your interest in the Site Reliability Engineer position at Intel!

As the next step in our hiring process, we'd like to invite you to complete a take-home coding challenge. 

Details:
- Duration: 2-3 hours
- Deadline: 5 days from today
- Language: Your choice

Please find the challenge at: [HackerRank Link]

Good luck!
Intel Engineering Team",1,interview
"Subject: Thank you for your interest in Meta

Dear Candidate,

We appreciate your interest in joining Meta as a Cloud Engineer. 

Your application has been forwarded to the hiring team for review. If your background is a match, you can expect to hear from us within the next two weeks.

Best of luck,
Chris
Recruiting Team, Meta",0,applied
"Subject: Your OTP for login

Your one-time password is: 847293

This OTP is valid for 10 minutes. Do not share with anyone.

If you didn't request this, please ignore.

SecureBank",3,not_job
"Subject: Your bank statement is ready

Dear Customer,

Your account statement for the month of January 2024 is now available.

Account: XXXX1234
Balance: ₹45,678.90

Log in to your account to view the full statement.

HDFC Bank",3,not_job
"Subject: Your application to Coinbase has been submitted

Hi Candidate,

Great news! Your application for Data Scientist at Coinbase has been successfully submitted.

What happens next?
- Our team will review your profile
- If selected, you'll hear from us within 2 weeks
- You can track your application status in our portal

Thank you for considering Coinbase!

Best,
Coinbase Recruiting",0,applied
"Subject: Technical Interview - Upstox

Hello Candidate,

You've been selected for a technical interview for the QA Engineer position at Upstox!

The interview will cover:
- System design discussion
- Live coding problem
- Q&A about your experience

Duration: 90 minutes
Format: Virtual

Please share your availability for next week.

Regards,
Upstox Engineering Helloring",1,interview
"Subject: Application Received - Cloud Engineer at Oracle

Dear Candidate,

We've received your application for the Cloud Engineer role at Oracle. Thank you for your interest in joining our team!

Our recruiting team will review your application and get back to you if there's a potential match. Due to the high volume of applications, this process may take 2-3 weeks.

Cheers,
Jessica
Talent Acquisition, Oracle",0,applied
"Subject: CodeCraft - Application Confirmation

Dear Candidate,

This email confirms that we have received your application for:

Position: Security Engineer
Company: CodeCraft
Date Applied: February 07, 2026

Your application is now under review. We will contact you if your profile matches our requirements.

Thank you,
CodeCraft Talent Acquisition",0,applied
"Subject: Password reset request

Hi Candidate,

We received a request to reset your password.

Click here to reset: [Reset Link]

If you didn't request this, please ignore this email.

Security Team",3,not_job
"Subject: Technical Interview - Plaid

Hello Candidate,

You've been selected for a technical interview for the Systems Analyst position at Plaid!

The interview will cover:
- System design discussion
- Live coding problem
- Q&A about your experience

Duration: 90 minutes
Format: Virtual

Please share your availability for next week.

Regards,
Plaid Engineering Hiring",1,interview
"subject: your application to salesforce

hi candidate,

thank you for your interest in the machine learning engineer role at salesforce. we appreciate the time you invested in applying.

unfortunately, we will not be moving forward with your application at this time. while your background is impressive, we've decided to pursue candidates with different experience for this particular role.

we wish you all the best in your career journey.

best regards,
brian
salesforce",2,rejection
"Subject: Update on Your Application - Docker

Dear Candidate,

Thank you for taking the time to apply for the Data Engineer position at Docker and for your interest in joining our team.

After careful consideration, we have decided to move forward with other candidates whose experience more closely matches our current needs.

We encourage you to apply for future openings that match your skills. We wish you the best in your job search.

Sincerely,
Docker Recruiting Team",2,rejection
"Subject: Regarding Your Machine Learning Engineer Application

Hello Candidate,

Thank you for applying for the Machine Learning Engineer position at Meta. We enjoyed learning about your background.

After careful consideration, we've decided to move in a different direction for this role. This decision is not a reflection of your abilities - we simply found candidates whose experience was a closer match.

Best of luck with your job search!

Regards,
Amanda
Meta",2,rejection
"Subject: Thank you for applying to IBM

Hi Candidate,

Thank you for your interest in IBM and for applying to the Data Scientist position.

We have carefully reviewed your application and, unfortunately, have decided not to move forward at this time. We received many qualified applicants for this role and the competition was intense.

We appreciate your time and wish you success in your career.

Best,
Sarah
IBM HR",2,rejection
"Subject: Application submitted successfully - Snowflake

Hello Candidate,

Your application for DevOps Engineer at Snowflake has been received!

Here's what to expect:
1. Resume review by our talent team
2. Initial screening if qualified
3. Interview process (typically 3-4 rounds)

We'll keep you updated on your status.

Thanks,
Snowflake Careers",0,applied
"Subject: Regarding Your Machine Learning Engineer Application

Hello Candidate,

Thank you for applying for the Machine Learning Engineer position at PhonePe. We enjoyed learning about your background.

After careful consideration, we've decided to move in a different direction for this role. This decision is not a reflection of your abilities - we simply found candidates whose experience was a closer match.

Best of luck with your job search!

Regards,
Divya
PhonePe",2,rejection
"Subject: DevHub - Application Confirmation

Hi Candidate,

This email confirms that we have received your application for:

Position: Infrastructure Engineer
Company: DevHub
Date Applied: January 24, 2026

Your application is now under review. We will contact you if your profile matches our requirements.

Thank you,
DevHub Talent Acquisition",0,applied
"Subject: Application Received - Product Manager at Snowflake

Dear Candidate,

We've received your application for the Product Manager role at Snowflake. Thank you for your interest in joining our team!

Our recruiting team will review your application and get back to you if there's a potential match. Due to the high volume of applications, this process may take 2-3 weeks.

Cheers,
Michael
Talent Acquisition, Snowflake",0,applied
"Subject: Interview Confirmation - Flipkart

Dear Candidate,

This is to confirm your interview for the UI Designer position at Flipkart.

Date: Saturday, February 14
Time: 2:00 PM - 3:00 PM
Location: Video Call (link will be sent separately)
Interviewer: Engineering Team

Please let us know if you need to reschedule.

Best,
John
Flipkart",1,interview
